"SEQ_ITEM","PORT_CODE","BRANCH","CONTNO","NOPOL","BLOK","SLOT","ROW","TIER","CONTSIZE","CONTTYPE","CONTOWNER","CONTSTATUS","PRINCIPAL","DG_FLAG","HOLD_FLAG","DMG_FLAG","OD_FLAG","FREEUSED_FLAG","FULLMT","SEALNO","WEIGHT","CMDTY_CODE","CMDTY_DESC","VESSEL_VOYAGE","POL","POT","POD","BGKNO","BLNO","DWINO","RESERVE_FIELD","MOVE_TIME","REPO_TIME","VESSEL_OPERATOR","CONT_GRADE","FORM_ID","DOC_ID","KADE","CREATEDON","CREATEDBY","MODIFIEDBY","MODIFIEDON"
12,"1","3",MRLU1000012,NOP12,C,"2","2","1","40",HC,,,ONE,,,DM,,,E,SL0012,17500.00,C12,TEXT,VSL12,SGSIN,IDJKT,IDBLW,BGK12,BL12,DWI12,RES12,"1716700012",1716701012,ONE,GG,,,,,,,
13,"1","1",MRTU1000013,NOP13,A,"3","3","2","20",RF,,,CMA,,,AV,,,F,SL0013,18000.00,C13,CHEM,VSL13,MYTPP,IDJKT,IDSRG,BGK13,BL13,DWI13,RES13,"1716700013",1716701013,CMA,FG,,,,,,,
14,"1","2",HPCU1000014,NOP14,B,"4","4","2","40",OT,,,EVG,,,DM,,,E,SL0014,18500.00,C14,WOOD,VSL14,THBKK,IDJKT,IDSUB,BGK14,BL14,DWI14,RES14,"1716700014",1716701014,EVG,PG,,,,,,,
15,"1","3",MSCU1000015,NOP15,C,"5","5","3","20",GP,,,HPL,,,AV,,,F,SL0015,19000.00,C15,MACH,VSL15,VNSGN,IDJKT,IDBLW,BGK15,BL15,DWI15,RES15,"1716700015",1716701015,HPL,MK,,,,,,,
16,"1","1",MRLU1000016,NOP16,A,"6","1","3","40",HC,,,MSK,,,DM,,,E,SL0016,19500.00,C16,PAPER,VSL16,CNSHA,IDJKT,IDSRG,BGK16,BL16,DWI16,RES16,"1716700016",1716701016,MSK,FG,,,,,,,
17,"1","2",MRTU1000017,NOP17,B,"7","2","4","20",RF,,,ONE,,,AV,,,F,SL0017,20000.00,C17,STEEL,VSL17,KRPUS,IDJKT,IDSBY,BGK17,BL17,DWI17,RES17,"1716700017",1716701017,ONE,PG,,,,,,,
18,"1","3",HPCU1000018,NOP18,C,"8","3","4","40",OT,,,CMA,,,DM,,,E,SL0018,20500.00,C18,FROZ,VSL18,HKHKG,IDJKT,IDSUB,BGK18,BL18,DWI18,RES18,"1716700018",1716701018,CMA,GG,,,,,,,
19,"1","1",MSCU1000019,NOP19,A,"9","4","5","20",GP,,,EVG,,,AV,,,F,SL0019,21000.00,C19,RICE,VSL19,TWKHH,IDJKT,IDBLW,BGK19,BL19,DWI19,RES19,"1716700019",1716701019,EVG,FG,,,,,,,
20,"1","2",MRLU1000020,NOP20,B,"10","5","5","40",HC,,,HPL,,,DM,,,E,SL0020,21500.00,C20,PLAS,VSL20,JPTYO,IDJKT,IDSRG,BGK20,BL20,DWI20,RES20,"1716700020",1716701020,HPL,MK,,,,,,,
1,"1","1",MRTU1000001,NOP01,A,"1","1","1","20",GP,,,MSK,,,AV,,,F,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
21,"1","1",MRTU1000011,NOP01,A,"1","1","2","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
22,"1","1",MRTU1000010,NOP01,A,"1","1","3","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
23,"1","1",MRTU1000011,NOP01,A,"1","1","4","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
24,"1","1",MRTU1000010,NOP01,A,"1","1","5","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
25,"1","1",MRTU1000011,NOP01,A,"1","1","6","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
26,"1","1",MRTU1000010,NOP01,A,"1","1","7","20",GP,,,MSK,,,AV,,,E,SL0001,12000.00,C01,FOOD,VSL01,SGSIN,IDJKT,IDSBY,BGK01,BL01,DWI01,RES01,"1716700001",1716701001,MAERSK,GG,,,,,,,
1174,IDJKT,JKT74,MRTU9619450,,,,,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781104320",,,,770,"39993","219",,,,
1175,IDJKT,JKT74,TRHU8915693,,,,,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781104440",,,,770,"39993","219",,,,
1178,IDJKT,JKT74,MRTU9619450,,,,,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781104320",,,,770,"39993","219",,,,
1179,IDJKT,JKT74,TRHU8915693,,,,,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781104440",,,,770,"39993","219",,,,
1181,IDJKT,JKT64,TXGU8488414,"6","1b",,,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781113020",,,,770,"40039","218",,,,
1182,IDJKT,JKT64,CAAU4955002,Ht04,"3a","30","5","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781110080",,,,770,"40035","218",,,,
1183,IDJKT,JKT64,TXGU8956259,Ht21,"3a","30","5","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781110440",,,,770,"40035","218",,,,
1184,IDJKT,JKT64,BMOU6035264,Ht19,"3a","30","5","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781111280",,,,770,"40035","218",,,,
1185,IDJKT,JKT64,SEGU4288445,Ht04,"3a","30","5",,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781111760",,,,770,"40035","218",,,,
396,IDJKT,JKT64,GESU3407735,Ht04,"3a","3","1","4","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780896840",,,,770,"39672","218",,,,
398,IDJKT,JKT64,MRTU2102892,Ht06,"3a","3","2","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780896960",,,,770,"39672","218",,,,
399,IDJKT,JKT64,MRTU2259217,Ht14,"3a","3","5","5","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780896960",,,,770,"39672","218",,,,
401,IDJKT,JKT64,MRTU2202211,Ht13,"3a","4","1","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780899780",,,,770,"39672","218",,,,
406,IDJKT,JKT64,MRSU4362154,Ht17,"1b","12","5","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780965840",,,,770,"39796","218",,,,
407,IDJKT,JKT64,MRKU3964051,Ht03,"1b","12","5","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780965900",,,,770,"39796","218",,,,
408,IDJKT,JKT64,MRSU6911171,Ht30,"1b","6","1","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780968300",,,,770,"39796","218",,,,
409,IDJKT,JKT64,CAAU6628354,Ht15,"1b","12","2","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780968540",,,,770,"39796","218",,,,
410,IDJKT,JKT64,TRHU4340081,Ht29,"1b","12","3","5","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780968660",,,,770,"39796","218",,,,
411,IDJKT,JKT64,GAOU7551963,Ht07,"1n","12","5","4","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780968660",,,,770,"39796","218",,,,
412,IDJKT,JKT64,CAAU4660070,Ht18,"1b","12","5","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780968720",,,,770,"39796","218",,,,
413,IDJKT,JKT64,BSIU3089513,Ht28,"1b","10","1","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780978680",,,,770,"39796","218",,,,
795,IDJKT,JKT74,MRLU2355356,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781016180",,,,770,"39897","219",,,,
804,IDJKT,JKT74,MRTU2124649,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781016480",,,,770,"39897","219",,,,
1186,IDJKT,JKT74,MRTU9642378,,A,"2",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781111280",,,,770,"40042","219",,,,
1187,IDJKT,JKT74,MRTU9607037,Ht04,A,"2",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781111340",,,,770,"40042","219",,,,
809,IDJKT,JKT74,MRTU2107641,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781017020",,,,770,"39897","219",,,,
1188,IDJKT,JKT74,TRHU8899191,Ht03,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114100",,,,770,"40042","219",,,,
811,IDJKT,JKT74,SEGU6295504,,,,,,"40",GP,,,,,,,,,E,,,,,,,,,,,,,"1781017080",,,,770,"39897","219",,,,
1189,IDJKT,JKT74,FCIU7029520,Ht06,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114160",,,,770,"40042","219",,,,
1190,IDJKT,JKT74,MRLU5213186,Ht04,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114160",,,,770,"40042","219",,,,
1191,IDJKT,JKT74,MRTU9610940,Ht18,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114220",,,,770,"40042","219",,,,
1192,IDJKT,JKT74,MRTU9627835,Ht16,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114280",,,,770,"40042","219",,,,
1193,IDJKT,JKT74,MRTU9618664,Ht22,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114340",,,,770,"40042","219",,,,
820,IDJKT,JKT64,MRTU2168349,H28,"2a","9","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994220",,,,770,"39860","218",,,,
821,IDJKT,JKT64,MRTU2232345,H28,"2a","9","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994220",,,,770,"39860","218",,,,
822,IDJKT,JKT64,MRLU2382515,H25,"2a","9","1","3","20",EC,,,,,,,,,E,,,,,,,,,,,,,"1780994400",,,,770,"39860","218",,,,
823,IDJKT,JKT64,DFSU3191748,H25,"2a","9","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994460",,,,770,"39860","218",,,,
824,IDJKT,JKT64,MRLU2387559,H20,"2a","9","4","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780994580",,,,770,"39860","218",,,,
825,IDJKT,JKT64,MRTU2194570,H20,"2a","9","4","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994580",,,,770,"39860","218",,,,
826,IDJKT,JKT64,MRLU2351582,H01,"2a","9","4","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780994700",,,,770,"39860","218",,,,
827,IDJKT,JKT64,MRTU2204620,H01,"2a","9","4","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994760",,,,770,"39860","218",,,,
828,IDJKT,JKT64,FCIU6092909,H19,"2a","8","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780994940",,,,770,"39860","218",,,,
829,IDJKT,JKT64,MRTU2098067,H19,"2a","8","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995000",,,,770,"39860","218",,,,
830,IDJKT,JKT64,MRTU2033528,H27,"2a","8","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995120",,,,770,"39860","218",,,,
831,IDJKT,JKT64,MRTU2006775,H27,"2a","8","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995240",,,,770,"39860","218",,,,
832,IDJKT,JKT64,MRTU2086087,H18,"2a","5","2","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995480",,,,770,"39860","218",,,,
834,IDJKT,JKT64,MRTU2159497,H14,"2a","5","2","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995780",,,,770,"39860","218",,,,
835,IDJKT,JKT64,MRLU2341120,H14,"2a","5","2","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780995840",,,,770,"39860","218",,,,
836,IDJKT,JKT64,MRTU9635487,H07,"1a","12","1","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781014380",,,,770,"39860","218",,,,
837,IDJKT,JKT64,CAAU4954937,H19,"2a","12","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781014440",,,,770,"39860","218",,,,
838,IDJKT,JKT64,MRTU9625750,H05,"1a","12","1","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781014500",,,,770,"39860","218",,,,
839,IDJKT,JKT64,MRTU9623784,H02,"2s","2","1","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781014740",,,,770,"39860","218",,,,
840,IDJKT,JKT64,TXGU8450039,H16,"1a","2","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781014920",,,,770,"39860","218",,,,
841,IDJKT,JKT64,MRTU2199057,H12,"1a","5","4","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781015460",,,,770,"39860","218",,,,
843,IDJKT,JKT64,MRTU2200029,H18,"1a","5","4","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781015580",,,,770,"39860","218",,,,
844,IDJKT,JKT64,MRTU2109011,H18,"1a","5","4","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781015640",,,,770,"39860","218",,,,
845,IDJKT,JKT64,MRTU2101915,H14,"1a","5","6","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781015760",,,,770,"39860","218",,,,
846,IDJKT,JKT64,FCIU6090953,H14,"1a","5","6","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781015820",,,,770,"39860","218",,,,
847,IDJKT,JKT64,MRTU2047753,H19,"1a","5","6","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781016060",,,,770,"39860","218",,,,
415,IDJKT,JKT64,CAJU5094878,Ht18,"1b","6","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780978740",,,,770,"39796","218",,,,
416,IDJKT,JKT64,BMOU6356942,Ht28,"1b","4","2","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780978800",,,,770,"39796","218",,,,
417,IDJKT,JKT64,HASU4967649,Ht26,"1b","6","2","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780978860",,,,770,"39796","218",,,,
418,IDJKT,JKT64,SEGU6214884,Ht10,"1n","12","2","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780978980",,,,770,"39796","218",,,,
1194,IDJKT,JKT74,MRTU9606133,Ht01,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114340",,,,770,"40042","219",,,,
421,IDJKT,JKT64,NYKU9737282,Ht30,"1b","15","3","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780979160",,,,770,"39796","218",,,,
423,IDJKT,JKT64,SITU2699975,Ht28,"1b","10","2","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780979280",,,,770,"39796","218",,,,
424,IDJKT,JKT64,FTAU1232280,Ht28,"1b","10","2","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780979340",,,,770,"39796","218",,,,
848,IDJKT,JKT64,TEXU2544743,H19,"1a","5","6","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781016180",,,,770,"39860","218",,,,
425,IDJKT,JKT64,HPCU4318802,Ht03,"1n","6","1","4","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780990080",,,,770,"39796","218",,,,
849,IDJKT,JKT64,MRTU2108268,H11,"1a","10","2","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781016660",,,,770,"39860","218",,,,
426,IDJKT,JKT64,CAAU9031450,Ht03,"1b","6","1","5","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780990080",,,,770,"39796","218",,,,
427,IDJKT,JKT64,MRTU2154469,Ht07,"1b","7","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780990500",,,,770,"39796","218",,,,
428,IDJKT,JKT64,MRTU2256115,Ht07,"1b","7","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780990560",,,,770,"39796","218",,,,
1195,IDJKT,JKT74,MRTU9607042,Ht01,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114400",,,,770,"40042","219",,,,
1196,IDJKT,JKT74,MRTU9619613,Ht14,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114460",,,,770,"40042","219",,,,
1198,IDJKT,JKT74,FCIU7016020,Ht24,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114520",,,,770,"40042","219",,,,
1199,IDJKT,JKT74,MRTU9608985,Ht15,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114520",,,,770,"40042","219",,,,
1200,IDJKT,JKT74,MRTU9633479,Ht03,C,"10",,,"40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781114580",,,,770,"40042","219",,,,
1201,IDJKT,JKT64,TXGU8489909,Ht07,"2a","14","1","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781107680",,,,770,"40031","218",,,,
1202,IDJKT,JKT64,CAJU5096802,HT06,"2A","14","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781107920",,,,770,"40031","218",,,,
1203,IDJKT,JKT64,CGMU5623182,Ht23,"1b","2","6","2","40",RF,,,,,,,,,F,,,,,,,,,,,,,"1781136300",,,,770,"40047","218",,,,
1204,IDJKT,JKT64,HALU2449481,Ht16,"1b","10","1","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781138100",,,,770,"40047","218",,,,
1205,IDJKT,JKT64,MRTU2212518,Ht16,"1b","10","1","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781138160",,,,770,"40047","218",,,,
1206,IDJKT,JKT64,AMCU9392224,Ht05,"1b","2","6","3","40",RF,,,,,,,,,F,,,,,,,,,,,,,"1781139240",,,,770,"40047","218",,,,
1207,IDJKT,JKT64,CGMU6622299,Ht03,"1b","1","6","4","40",RF,,,,,,,,,F,,,,,,,,,,,,,"1781141760",,,,770,"40047","218",,,,
429,IDJKT,JKT64,MRTU2069182,Ht20,"1b","8","3","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780991100",,,,770,"39796","218",,,,
430,IDJKT,JKT64,MRTU2087674,Ht20,"1b","8","3","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780991160",,,,770,"39796","218",,,,
431,IDJKT,JKT64,FCIU6088750,Ht01,"1b","7","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780991220",,,,770,"39796","218",,,,
432,IDJKT,JKT64,MRTU2032368,Ht01,"1b","7","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1780991280",,,,770,"39796","218",,,,
433,IDJKT,JKT64,UETU7224874,Ht19,"3a","10","1","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780972500",,,,770,"39795","218",,,,
435,IDJKT,JKT64,BMOU6811624,Ht23,"3a","10","4","4","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780972980",,,,770,"39795","218",,,,
437,IDJKT,JKT64,ECMU4819107,Ht30,"3a","2","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780974360",,,,770,"39795","218",,,,
440,IDJKT,JKT64,CIMU1801016,Ht03,"3a","0","1","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780974840",,,,770,"39795","218",,,,
446,IDJKT,JKT64,EXFU5666350,Ht05,"3a","0","3","2","20",TN,,,,,,,,,F,,,,,,,,,,,,,"1780976100",,,,770,"39795","218",,,,
447,IDJKT,JKT64,EXFU5610599,Ht05,"3a","0","3","3","20",TN,,,,,,,,,F,,,,,,,,,,,,,"1780976160",,,,770,"39795","218",,,,
449,IDJKT,JKT64,GLDU9794432,Ht14,"3a","4","3","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780976460",,,,770,"39795","218",,,,
450,IDJKT,JKT64,MRKU9036630,Ht23,"3a","7","6","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780982340",,,,770,"39795","218",,,,
456,IDJKT,JKT64,SEGU2495443,Ht29,"3a","16","2","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780985220",,,,770,"39795","218",,,,
460,IDJKT,JKT64,KKTU7705612,Ht12,"3a","0","1","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780988580",,,,770,"39795","218",,,,
461,IDJKT,JKT64,BEAU2921228,Ht12,"3a","0","1","4","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780988640",,,,770,"39795","218",,,,
462,IDJKT,JKT64,TCNU1117677,HT14,"1A","12","2","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780966620",,,,770,"39851","218",,,,
463,IDJKT,JKT64,FSCU8281114,HT02,"1A","12","2","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780966620",,,,770,"39851","218",,,,
464,IDJKT,JKT64,MRKU2380916,HT10,"1A","12","2","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780969080",,,,770,"39851","218",,,,
466,IDJKT,JKT64,CMAU5733319,HT02,"1A","12","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780971000",,,,770,"39851","218",,,,
467,IDJKT,JKT64,UETU7851766,HT15,"1A","8","6","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780972320",,,,770,"39851","218",,,,
468,IDJKT,JKT64,KMTU9337407,HT29,"1A","12","1","3","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780973640",,,,770,"39851","218",,,,
469,IDJKT,JKT64,CMAU8702456,HT26,"1A","12","1","4","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780973760",,,,770,"39851","218",,,,
470,IDJKT,JKT64,BMOU6237265,HT13,"1A","12","1","5","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780973820",,,,770,"39851","218",,,,
471,IDJKT,JKT64,DRYU2389614,HT26,"2A","11","2","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780977060",,,,770,"39851","218",,,,
472,IDJKT,JKT64,GCXU2236024,HT26,"2A","11","2","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1780977120",,,,770,"39851","218",,,,
473,IDJKT,JKT64,MRTU9604110,HT10,"2A","4","3","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780983960",,,,770,"39851","218",,,,
476,IDJKT,JKT64,FCIU7016159,HT22,"1A","8","3","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780985160",,,,770,"39851","218",,,,
478,IDJKT,JKT64,FFAU5448520,HT06,"1A","12","1","5","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780986420",,,,770,"39851","218",,,,
479,IDJKT,JKT64,ECMU5148575,HT14,"2A","14","1","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780987500",,,,770,"39851","218",,,,
480,IDJKT,JKT64,ECMU7039887,HT30,"1A","8","3","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1780988400",,,,770,"39851","218",,,,
481,IDJKT,JKT64,HPCU4457921,HT29,"1A","8","3","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780988580",,,,770,"39851","218",,,,
482,IDJKT,JKT64,MRTU9606299,HT26,"1A","8","3","4","40",GP,,,,,,,,,E,,,,,,,,,,,,,"1780988640",,,,770,"39851","218",,,,
483,IDJKT,JKT64,MRTU9609572,JT24,"1A","8","3","5","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1780988880",,,,770,"39851","218",,,,
484,IDJKT,JKT64,TIIU6813050,HT17,"1A","8","1","4","20",HC,,,,,,,,,F,,,,,,,,,,,,,"1780989240",,,,770,"39851","218",,,,
